sample ID (based on genealogy)	profile	platform	PlatformCombo	Sanger ID		IRCC_full	Sample_PD_ID
CRC0021LMX0B02204TUMD02000	MUT	TargetedNGS	TargetedNGS_MUT	PD26005a		CRC0735PRX	PD25719a2
CRC0022LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0736PRX	PD25720a2
CRC0022LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD25873a2		CRC0740LMX	PD25721a2
CRC0022LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD25873a2		CRC0740PRX	PD25721c2
CRC0022LMX0A02204TUMD04000	GCN	TargetedNGS	TargetedNGS_GCN	PD25873a2		CRC1070PRX	PD25722a
CRC0022LMX0A02204TUMD04000	MUT	TargetedNGS	TargetedNGS_MUT	PD25873a2		CRC1063PRX	PD25723c2
CRC0023LMX0A01001TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	#N/A		CRC0781LMX	PD25724a2
CRC0024LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC1082PRX	PD25725a
CRC0024LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD25904a		CRC1161PRX	PD25726a2
CRC0024LMX0A02204TUMD06000	GCN	TargetedNGS	TargetedNGS_GCN	PD25904a		CRC1164PRX	PD25727a
CRC0024LMX0A02204TUMD06000	MUT	TargetedNGS	TargetedNGS_MUT	PD25904a		CRC1155LMX	PD25728a
CRC0025LMX0B01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD25907a		CRC1137LMX	PD25729a
CRC0025LMX0B01201TUMD01000	GCN	WES	WES_GCN	PD25907a		CRC1144LMX	PD25731a
CRC0025LMX0B01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD25907a		CRC1144PRX	PD25731c
CRC0025LMX0B01201TUMD01000	MUT	WES	WES_MUT	PD25907a		CRC1158PRX	PD25732a
CRC0025LMX0B02203TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD25907a		CRC1134PRX	PD25733a
CRC0025LMX0B02204TUMD02000	GCN	TargetedNGS	TargetedNGS_GCN	PD25907a		CRC1142PRX	PD25734a2
CRC0025LMX0B02204TUMD02000	MUT	TargetedNGS	TargetedNGS_MUT	PD25907a		CRC1194PRX	PD25735a
CRC0027LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC1182LMX	PD25736a
CRC0027LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD25889a		CRC1182PRX	PD25736c
CRC0027LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD25889a		CRC1170PRX	PD25737a2
CRC0027LMX0A02201TUMD06000	GCN	TargetedNGS	TargetedNGS_GCN	PD25889a		CRC1166LMX	PD25738a
CRC0027LMX0A02201TUMD06000	MUT	TargetedNGS	TargetedNGS_MUT	PD25889a		CRC1176PRX	PD25739a
CRC0028LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC1171PRX	PD25740a
CRC0028LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD25884a		CRC1239LMX	PD25741a
CRC0028LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD25884a		CRC1174PRX	PD25742a2
CRC0028LMX0A02204TUMD02000	GCN	TargetedNGS	TargetedNGS_GCN	PD25884a		CRC1175PRX	PD25743a2
CRC0028LMX0A02204TUMD02000	MUT	TargetedNGS	TargetedNGS_MUT	PD25884a		CRC1247PRX	PD25744a
CRC0029LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC1249PRX	PD25745a
CRC0029LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD25893a		CRC1242PRX	PD25746a
CRC0029LMX0A01201TUMD01000	GCN	WES	WES_GCN	PD25893a		CRC1245LMX	PD25747a
CRC0029LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD25893a		CRC1240LMX	PD25748a
CRC0029LMX0A01201TUMD01000	MUT	WES	WES_MUT	PD25893a		CRC1240PRX	PD25748c
CRC0029LMX0A02204TUMD06000	GCN	TargetedNGS	TargetedNGS_GCN	PD25893a		CRC1246PRX	PD25749a
CRC0029LMX0A02204TUMD06000	MUT	TargetedNGS	TargetedNGS_MUT	PD25893a		CRC1251LMX	PD25750a
CRC0030LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC1251PRX	PD25750c
CRC0030LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD26031a2		CRC1198LMX	PD25751a2
CRC0030LMX0A01201TUMD01000	GCN	WES	WES_GCN	PD26031a2		CRC1237PRX	PD25752a
CRC0030LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26031a2		CRC1197PRX	PD25753a
CRC0030LMX0A01201TUMD01000	MUT	WES	WES_MUT	PD26031a2		CRC1201PRX	PD25754a
CRC0030LMX0B02203TUMD05000	GCN	TargetedNGS	TargetedNGS_GCN	PD26031a2		CRC1234PRX	PD25755a2
CRC0030LMX0B02203TUMD05000	MUT	TargetedNGS	TargetedNGS_MUT	PD26031a2		CRC1179PRX	PD25756a
CRC0031LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC1180PRX	PD25757a
CRC0031LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD25825a		CRC1178PRX	PD25758a
CRC0031LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD25825a		CRC1188PRX	PD25759a
CRC0031LMX0A02203TUMD13000	GCN	TargetedNGS	TargetedNGS_GCN	PD25825a		CRC1181PRX	PD25760a
CRC0031LMX0A02203TUMD13000	MUT	TargetedNGS	TargetedNGS_MUT	PD25825a		CRC1185PRX	PD25761a
CRC0032LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC1169LMX	PD25762a2
CRC0032LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD25890a2		CRC1169PRX	PD25762c2
CRC0032LMX0A01201TUMD01000	GCN	WES	WES_GCN	PD25890a2		CRC1168PRX	PD25763a
CRC0032LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD25890a2		CRC1190PRX	PD25764a
CRC0032LMX0A01201TUMD01000	MUT	WES	WES_MUT	PD25890a2		CRC1257LMX	PD25765a
CRC0032LMX0A02201TUMD05000	GCN	TargetedNGS	TargetedNGS_GCN	PD25890a2		CRC1262PRH	PD25766a
CRC0032LMX0A02201TUMD05000	MUT	TargetedNGS	TargetedNGS_MUT	PD25890a2		CRC1262PRX	PD25766c
CRC0050LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC1241LMX	PD25767a
CRC0050LMX0A02201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD26137a		CRC0516LMX	PD25768a2
CRC0050LMX0A02201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26137a		CRC0520LMX	PD25769a2
CRC0050LMX0A02201TUMD02000	MUT	TargetedNGS	TargetedNGS_MUT	PD26137a		CRC0521LMX	PD25770a2
CRC0050PRX0A02201TUMD01000	MUT	TargetedNGS	TargetedNGS_MUT	PD26137c		CRC0527LMX	PD25771a2
CRC0051LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0554LMX	PD25772a2
CRC0051LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD26151a		CRC0578LMX	PD25773a2
CRC0051LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26151a		CRC0555LMX	PD25774a
CRC0051LMX0A02204TUMD06000	MUT	TargetedNGS	TargetedNGS_MUT	PD26151a		CRC0558LMX	PD25775a2
CRC0052LMX0A01001TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	#N/A		CRC0559LMX	PD25776a2
CRC0053LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0568LMX	PD25777a2
CRC0053LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD26132a		CRC0569LMX	PD25778a2
CRC0053LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26132a		CRC0572LMX	PD25779a2
CRC0053LMX0A02204TUMD06000	MUT	TargetedNGS	TargetedNGS_MUT	PD26132a		CRC0579LMX	PD25780a2
CRC0053PRX0A01201TUMD01000	MUT	TargetedNGS	TargetedNGS_MUT	PD26132d		CRC0581LMX	PD25781a2
CRC0054LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26130a		CRC0594LMX	PD25782a2
CRC0054LMH0000000000D02000	MUT	TargetedNGS	TargetedNGS_MUT	PD26130a		CRC0609LMX	PD25783a2
CRC0054LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD26130c		CRC0610LMX	PD25784a2
CRC0054LMX0A01201TUMD01000	GCN	WES	WES_GCN	PD26130c		CRC0618LMX	PD25785a2
CRC0054LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26130c		CRC0625LMX	PD25786a2
CRC0054LMX0A01201TUMD01000	MUT	WES	WES_MUT	PD26130c		CRC0626LMX	PD25787a2
CRC0054LMX0B02202TUMD02000	MUT	TargetedNGS	TargetedNGS_MUT	PD26130c		CRC0670LMX	PD25789a2
CRC0055LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0680LMX	PD25790a2
CRC0055LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD26135a		CRC0692LMX	PD25791a
CRC0055LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26135a		CRC0706LMX	PD25792a2
CRC0055LMX0A02201TUMD06000	MUT	TargetedNGS	TargetedNGS_MUT	PD26135a		CRC0705LMX	PD25793a2
CRC0056LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0717LMX	PD25794a2
CRC0056LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD26015a		CRC0721LMX	PD25795a2
CRC0056LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26015a		CRC0730LMX	PD25796a2
CRC0056LMX0A02201TUMD02000	GCN	TargetedNGS	TargetedNGS_GCN	PD26015a		CRC0731LMX	PD25797a
CRC0056LMX0A02201TUMD02000	MUT	TargetedNGS	TargetedNGS_MUT	PD26015a		CRC0741LMX	PD25798a2
CRC0057LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26020a		CRC0743LMX	PD25799a2
CRC0057LMH0000000000D02000	GCN	TargetedNGS	TargetedNGS_GCN	PD26020a		CRC0783LMX	PD25800a2
CRC0057LMH0000000000D02000	MUT	TargetedNGS	TargetedNGS_MUT	PD26020a		CRC0753LMX	PD25801a
CRC0057LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD26020c		CRC0729LMX	PD25802a2
CRC0057LMX0A01201TUMD01000	GCN	WES	WES_GCN	PD26020c		CRC0771LMX	PD25803a2
CRC0057LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26020c		CRC0773LMX	PD25804a2
CRC0057LMX0A01201TUMD01000	MUT	WES	WES_MUT	PD26020c		CRC1072LMX	PD25807a
CRC0057LMX0A02201TUMD02000	GCN	TargetedNGS	TargetedNGS_GCN	PD26020c		CRC1075LMX	PD25808a
CRC0057LMX0A02201TUMD02000	MUT	TargetedNGS	TargetedNGS_MUT	PD26020c		CRC1084LMX	PD25810a
CRC0058LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD25987a		CRC1083LMX	PD25811a2
CRC0058LMX0A01201TUMD01000	GCN	WES	WES_GCN	PD25987a		CRC1264LMH	PD25812a2
CRC0058LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD25987a		CRC1264LMX	PD25812c2
CRC0058LMX0A01201TUMD01000	MUT	WES	WES_MUT	PD25987a		CRC1090LMX	PD25813a
CRC0058LMX0A02201TUMD02000	GCN	TargetedNGS	TargetedNGS_GCN	PD25987a		CRC1139LMX	PD25814a2
CRC0058LMX0A02201TUMD02000	MUT	TargetedNGS	TargetedNGS_MUT	PD25987a		CRC1145LMX	PD25815a
CRC0059LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC1147LMX	PD25816a
CRC0059LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD26018a		CRC1146LMX	PD25817a
CRC0059LMX0A01201TUMD01000	GCN	WES	WES_GCN	PD26018a		CRC1157LMX	PD25818a2
CRC0059LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26018a		CRC1162LMX	PD25819a
CRC0059LMX0A01201TUMD01000	MUT	WES	WES_MUT	PD26018a		CRC1261LMX	PD25820a
CRC0059LMX0A02204TUMD02000	GCN	TargetedNGS	TargetedNGS_GCN	PD26018a		CRC0778LMX	PD25821a2
CRC0059LMX0A02204TUMD02000	MUT	TargetedNGS	TargetedNGS_MUT	PD26018a		CRC0504LMH	PD25822a
CRC0060LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0504LMX	PD25822c2
CRC0060LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	#N/A		CRC0597LMX	PD25823a2
CRC0060LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0772LMX	PD25824a2
CRC0061LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0031LMX	PD25825a
CRC0061LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD25882a		CRC0158LMX	PD25826a2
CRC0061LMX0A01201TUMD01000	GCN	WES	WES_GCN	PD25882a		CRC0164LMX	PD25827a2
CRC0061LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD25882a		CRC0238PRX	PD25828a
CRC0061LMX0A01201TUMD01000	MUT	WES	WES_MUT	PD25882a		CRC0240PRX	PD25829a
CRC0061LMX0A02203TUMD02000	GCN	TargetedNGS	TargetedNGS_GCN	PD25882a		CRC0259PRX	PD25830a
CRC0061LMX0A02203TUMD02000	MUT	TargetedNGS	TargetedNGS_MUT	PD25882a		CRC0368PRX	PD25831a
CRC0062LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	PD25875a		CRC0482LMH	PD25831c
CRC0062LMH0000000000D02000	GCN	TargetedNGS	TargetedNGS_GCN	PD25875a		CRC0482LMX	PD25831d2
CRC0062LMH0000000000D02000	MUT	TargetedNGS	TargetedNGS_MUT	PD25875a		CRC0371LMX	PD25832a
CRC0062LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD25875c		CRC0691LMX	PD25833a2
CRC0062LMX0A01201TUMD01000	GCN	WES	WES_GCN	PD25875c		CRC0552LMX	PD25834c2
CRC0062LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD25875c		CRC0400LMX	PD25835a
CRC0062LMX0A01201TUMD01000	MUT	WES	WES_MUT	PD25875c		CRC0419LMX	PD25836a
CRC0062LMX0A02201TUMD02000	GCN	TargetedNGS	TargetedNGS_GCN	PD25875c		CRC0282PRX	PD25837a
CRC0062LMX0A02201TUMD02000	MUT	TargetedNGS	TargetedNGS_MUT	PD25875c		CRC0166LMX	PD25838a
CRC0063LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0306LMX	PD25838c
CRC0063LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD25969a		CRC0307LMX	PD25838d
CRC0063LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD25969a		CRC0337PRX	PD25839a2
CRC0063LMX0A02204TUMD02000	GCN	TargetedNGS	TargetedNGS_GCN	PD25969a		CRC0356LMX	PD25840a
CRC0063LMX0A02204TUMD02000	MUT	TargetedNGS	TargetedNGS_MUT	PD25969a		CRC0357LMX	PD25841a
CRC0064LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0360PRX	PD25842a
CRC0064LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD26027a		CRC0367PRX	PD25843a
CRC0064LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26027a		CRC0374PRX	PD25844a
CRC0064LMX0A02204TUMD06000	GCN	TargetedNGS	TargetedNGS_GCN	PD26027a		CRC0373PRX	PD25845a
CRC0064LMX0A02204TUMD06000	MUT	TargetedNGS	TargetedNGS_MUT	PD26027a		CRC0269PRX	PD25846a
CRC0065LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0268PRX	PD25847a2
CRC0065LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD26134a		CRC0265LMX	PD25848a
CRC0065LMX0A01201TUMD01000	GCN	WES	WES_GCN	PD26134a		CRC0290PRH	PD25849a
CRC0065LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26134a		CRC0290PRX	PD25849c
CRC0065LMX0A01201TUMD01000	MUT	WES	WES_MUT	PD26134a		CRC0267PRX	PD25850a
CRC0065LMX0B01201TUMD02000	MUT	TargetedNGS	TargetedNGS_MUT	PD26134a		CRC0272PRX	PD25851a
CRC0065PRX0B01201TUMD01000	MUT	TargetedNGS	TargetedNGS_MUT	PD26134c		CRC0281PRX	PD25852a
CRC0066LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0311PRH	PD25853a
CRC0066LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD26016a		CRC0311PRX	PD25853c
CRC0066LMX0A01201TUMD01000	GCN	WES	WES_GCN	PD26016a		CRC0317PRX	PD25854a
CRC0066LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26016a		CRC0318LMX	PD25855a
CRC0066LMX0A01201TUMD01000	MUT	WES	WES_MUT	PD26016a		CRC0320PRX	PD25856a
CRC0066LMX0A02204TUMD04000	GCN	TargetedNGS	TargetedNGS_GCN	PD26016a		CRC0324LMX	PD25857a
CRC0066LMX0A02204TUMD04000	MUT	TargetedNGS	TargetedNGS_MUT	PD26016a		CRC0315PRX	PD25858a
CRC0067LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0336PRX	PD25859a
CRC0067LMX0B01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD25992a		CRC0333LMX	PD25860a
CRC0067LMX0B01201TUMD01000	GCN	WES	WES_GCN	PD25992a		CRC0333PRX	PD25860c
CRC0067LMX0B01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD25992a		CRC0332LMX	PD25861a
CRC0067LMX0B01201TUMD01000	MUT	WES	WES_MUT	PD25992a		CRC0340PRX	PD25862a
CRC0067LMX0B02204TUMD06000	GCN	TargetedNGS	TargetedNGS_GCN	PD25992a		CRC0343LMX	PD25863a
CRC0067LMX0B02204TUMD06000	MUT	TargetedNGS	TargetedNGS_MUT	PD25992a		CRC0395PRX	PD25864a
CRC0068LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD26108a		CRC0384PRX	PD25865a
CRC0068LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26108a		CRC0263PRX	PD25866a
CRC0068LMX0A01201TUMD01000	MUT	WES	WES_MUT	PD26108a		CRC0019LMX	PD25867a
CRC0068LMX0A02203TUMD02000	MUT	TargetedNGS	TargetedNGS_MUT	PD26108a		CRC0123LMX	PD25869a
CRC0069LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0202LMX	PD25870a
CRC0069LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	#N/A		CRC0086LMH	PD25871a
CRC0069LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0086LMX	PD25871c
CRC0070LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0014LMX	PD25872a
CRC0070LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD26139a		CRC0022LMX	PD25873a2
CRC0070LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26139a		CRC0109LMX	PD25874a
CRC0070LMX0A02204TUMD06000	MUT	TargetedNGS	TargetedNGS_MUT	PD26139a		CRC0062LMH	PD25875a
CRC0071LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0062LMX	PD25875c
CRC0071LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD26154a		CRC0256PRX	PD25876a
CRC0071LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26154a		CRC0140LMX	PD25877a2
CRC0071LMX0A02204TUMD06000	MUT	TargetedNGS	TargetedNGS_MUT	PD26154a		CRC0179LMX	PD25878a
CRC0071PRX0A01201TUMD02000	MUT	TargetedNGS	TargetedNGS_MUT	PD26154c		CRC0219LMX	PD25879a
CRC0072LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26106a		CRC0118LMX	PD25880a
CRC0072LMH0000000000D02000	MUT	TargetedNGS	TargetedNGS_MUT	PD26106a		CRC0017LMX	PD25881a
CRC0072LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD26106c		CRC0061LMX	PD25882a
CRC0072LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26106c		CRC0095LMX	PD25883a
CRC0072LMX0A02203TUMD02000	MUT	TargetedNGS	TargetedNGS_MUT	PD26106c		CRC0028LMX	PD25884a
CRC0073LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0170LMX	PD25885a
CRC0073LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD26012a2		CRC0187LMX	PD25886a
CRC0073LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26012a2		CRC0216LMX	PD25887a
CRC0073LMX0A02201TUMD05000	GCN	TargetedNGS	TargetedNGS_GCN	PD26012a2		CRC0169LMH	PD25888a
CRC0073LMX0A02201TUMD05000	MUT	TargetedNGS	TargetedNGS_MUT	PD26012a2		CRC0169LMX	PD25888c
CRC0076LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0027LMX	PD25889a
CRC0076LMX0B01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD25979a2		CRC0032LMX	PD25890a2
CRC0076LMX0B01201TUMD01000	GCN	WES	WES_GCN	PD25979a2		CRC0362LMX	PD25891a
CRC0076LMX0B01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD25979a2		CRC0223PRH	PD25892a
CRC0076LMX0B01201TUMD01000	MUT	WES	WES_MUT	PD25979a2		CRC0223PRX	PD25892c
CRC0076LMX0B01201TUMD02000	GCN	TargetedNGS	TargetedNGS_GCN	PD25979a2		CRC0029LMX	PD25893a
CRC0076LMX0B01201TUMD02000	MUT	TargetedNGS	TargetedNGS_MUT	PD25979a2		CRC0124LMX	PD25894a
CRC0077LMH0000000000D01000	MUT	SangerSequencing	SangerSequencing_MUT	#N/A		CRC0145LMX	PD25895a
CRC0077LMX0A01201TUMD01000	GCN	RealTimePCR	RealTimePCR_GCN	PD26006a		CRC0018LMX	PD25896a
CRC0077LMX0A01201TUMD01000	MUT	SangerSequencing	SangerSequencing_MUT	PD26006a		CRC0229LMX	PD25897a
CRC0077LMX0A02203TUMD04000	GCN	TargetedNGS	TargetedNGS_GCN	PD26006a		CRC0253LMX	PD25897c
CRC0077LMX0A02203TUMD04000	MUT	TargetedNGS	TargetedNGS_MUT	PD26006a		CRC0180LMX	PD25898a
CRC0077LMX0A05011TUMR01000	GCN	RealTimePCR	RealTimePCR_GCN	PD26006a		CRC0168LMX	PD25899a
