Model	Drug	Manufacturer	Dose	Duration	Frequency	Arm Size	Response Class	Passage Range
CRC0097LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0097LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0098LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0098LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0099LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0099LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0100LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0100LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0101LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0101LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0102LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0102LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0103LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0103LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0104LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0104LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0105LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0105LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0106LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0106LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0109LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0109LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0112LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0112LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0113LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0113LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0115LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0115LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0116LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0116LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0117LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0117LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0118LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0118LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0121LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0121LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0124LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0124LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0125LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0125LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0126LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0126LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0127LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0127LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0128LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0128LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0129LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0129LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0131LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0131LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0133LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0133LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0134LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0134LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0136LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0136LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0137LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0137LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0139LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0139LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0143LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0143LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0144LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0144LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0145LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0145LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0146LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0146LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0147LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0147LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0148LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0148LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0149LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0149LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0150LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0150LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0151LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0151LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0152LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0152LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0153LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0153LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0159LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0159LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0161LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0161LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0165LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0165LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0166LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0166LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0167LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0167LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0171LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0171LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0173LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0173LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0174LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0174LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0175LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0175LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0176LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0176LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0177LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0177LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0179LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0179LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0180LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0180LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0184LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0184LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0185LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0185LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0186LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0186LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0187LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0187LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
